Title, Team, City
"CheckMate", RBM productions, Castelo Branco
"Basic", Rat Queens, Columbus
"Jamed", Valinor, Hauts-de-France
"Control", Nicalex, Jacksonville
"El trágico caso de los Esquivel", Yohualli Crafts, Mexico
"The Man In The Box", Vermillion Films, Wisconsin
"Nevrose", No Couscous For Old Men, Brussels
"Off-Beat", BCFC, College 48
"Edie and Iris", TMC, College 48
"Ditch Day", Broke Students, College 48
"Writer's Blot", 8FPS, College 48
"An Introvert's Guide To Sport And Wellness: Surfing", Hopscotch Mafia,
"Axiom", KJ Films,
"Child's Play", Eyes & Soul,
"Drenched", BLAT!,
"For Mother", THNV-Media,
"Good Egg", BIG FRIEND,
"How To End A Love Story?", N.O.C. Film,
"I'm Still Here", Hard Genoeg,
"Jamie Is Alone", VisionRey,
"Karmann", Fast Forward Filmcrew,
"Market Moans", HAFT,
"Switcheroo!", Above-the-Line Ent,
"The Tuner", Paradigm Shift,
"Time Trapple", Cutting Room Floor,
"Toe To Toe", Coconutmeat,
